"Gene","Module"
"SLCO6A1","honeydew1"
"TRPC7","midnightblue"
"TOMM6","turquoise"
"RHOB","grey60"
"GLB1L","skyblue"
"POU3F4","grey"
"KDELR1","white"
"CPT1B","black"
"TMSB10","turquoise"
"COX16","darkolivegreen"
"CTTNBP2NL","turquoise"
"VOPP1","black"
"UBE4A","grey"
"SLC15A1","turquoise"
"FBXO36","blue"
"RTKN","yellow"
"GLIPR1","grey"
"KRT75","magenta"
"SCRN1","pink"
"SLC43A2","orange"
"KIF4A","lightgreen"
"AC127496.1","blue"
"MVD","red"
"FHL1","red"
"METTL1","turquoise"
"SLC35F1","turquoise"
"WNT9A","steelblue"
"MGARP","grey"
"CHRM4","yellow"
"HSPA4","salmon"
"BTN3A3","turquoise"
"RFX6","tan"
"BZRAP1","turquoise"
"RNF168","lightgreen"
"HRASLS","purple"
"NXNL2","paleturquoise"
"CAMKV","darkgreen"
"PSMG3","grey"
"TPSAB1","midnightblue"
"CNTN2","grey"
"CD209","magenta"
"AL391421.1","brown"
"DOCK8","brown"
"ZNF77","turquoise"
"CTDP1","grey60"
"SMAP2","blue"
"NCAPD2","lightgreen"
"TRIM9","midnightblue"
"ETV5","royalblue"
"IST1","turquoise"
"CCT2","blue"
"EDN2","greenyellow"
"SERPINF2","turquoise"
"STX3","black"
"AGTR1","yellow"
"TCN2","darkgrey"
"PRAM1","grey"
"PHYKPL","darkslateblue"
"EXOC1","darkturquoise"
"SPATA17","blue"
"LONRF1","lightyellow"
"METTL21B","cyan"
"OCM","grey"
"KLHL38","grey"
"TIGIT","turquoise"
"TSGA13","magenta"
"FRG2B","palevioletred3"
"ALDOA","grey"
"GOLGA8F","grey"
"DNAJC30","turquoise"
"AC135983.2","grey"
"LASP1","brown"
"ITGA3","green"
"SRSF7","red"
"C15orf48","blue"
"ANKRD28","cyan"
"GPAT2","grey"
"ADAM17","lightyellow"
"VKORC1","turquoise"
"EPHA4","red"
"NGDN","sienna3"
"IL12A","darkgrey"
"LTC4S","royalblue"
"SUZ12","turquoise"
"TTC30B","turquoise"
"AL109927.1","royalblue"
"ZNF93","lightcyan"
"FAM149B1","royalblue"
"GNAS","darkmagenta"
"TMEM106B","darkred"
"TMEM31","magenta"
"DAND5","grey"
"PDCD7","yellow"
"ZNF584","blue"
"CADPS","pink"
"TLE1","midnightblue"
"APPL2","skyblue"
"C14orf159","red"
"AXL","green"
"RND3","greenyellow"
"SPDYA","grey"
"AP1B1","red"
"SLC36A1","red"
"SNTB1","midnightblue"
"UGT2B17","grey"
"CMBL","darkgrey"
"PEG10","sienna3"
"COQ3","lightyellow"
"MT-ND1","grey"
"AGAP1","royalblue"
"NTRK1","tan"
"L3MBTL3","sienna3"
"LRRC16A","bisque4"
"RIN2","pink"
"KANSL1L","darkgrey"
"GAR1","red"
"S100A12","tan"
"RP11-429E11.3","pink"
"INPP4A","turquoise"
"OTOF","magenta"
"SLC13A3","blue"
"RP11-664D7.4","yellow"
"SLC13A2","lavenderblush3"
"ABCB10","sienna3"
"IDH3G","green"
"CPNE7","purple"
"BBS10","green"
"C3orf33","grey60"
"NSMCE2","brown"
"CHD2","turquoise"
"CPEB3","darkturquoise"
"PDE2A","turquoise"
"PPDPF","darkgrey"
"ANAPC10","magenta"
"ZNF620","darkgrey"
"RUNX1","darkmagenta"
"ZNF429","brown"
"MS4A8","blue"
"GPAA1","turquoise"
"HBCBP","thistle2"
"B3GALTL","black"
"ZNF749","blue"
"SLC22A5","salmon4"
"LPAR2","brown"
"E2F4","blue"
"DNAJA3","green"
"C1QB","darkorange"
"ST5","lightyellow"
"ZNF791","brown"
"VMP1","black"
"ARRDC5","darkorange2"
"HSD17B1","turquoise"
"MAP3K1","turquoise"
"MAGOHB","steelblue"
"ZDHHC3","green"
"PCDHA8","floralwhite"
